"season","teamid","df","int.x","int.se","opp_or.x","opp_or.se","opp_dr.x","opp_dr.se","homeH.x","homeH.se","homeA.x","homeA.se","homeN.x","homeN.se"
"A",511,29,75.898399625624,2.6933907922495,-1.06572361759671,0.587263339918943,-0.470057525471116,0.649500737220803,11.5218999254725,3.21283159997801,NA,NA,19.1977123585348,6.84888448638508
"A",515,29,77.9494773247678,4.59714432579305,-0.242658621801639,0.469463458943951,2.69570377909783,1.09603928474518,0.789057809578371,5.18488264750845,NA,NA,6.47199666082272,10.0509133511793
"A",606,32,86.931961888968,2.86432340228399,-1.63449832140619,0.365727016094032,-0.391184113321077,0.649406372012322,-1.3797079664542,3.39076713845974,NA,NA,0.236918531824512,4.74064972258773
"A",670,30,69.7887419558153,4.12111678262956,-0.247963529927312,0.693872100409961,0.983918959109096,0.879925400282347,2.21894900272639,4.46993695030985,NA,NA,8.04529866129945,7.79943551155746
"A",721,28,77.2616745343504,5.46030663090226,-0.817829922671731,0.773073988958906,0.304757498115735,1.31457803799542,8.1976685505102,6.363661409886,NA,NA,NA,NA
"A",842,27,78.4498190197927,4.78120142151756,0.234580961215166,0.811281090782436,2.31481811407352,0.646893921201077,1.01771867630297,5.14627909099879,NA,NA,1.74909678062266,7.34515744944004
"A",603,30,77.0456174652203,5.43037580819132,-0.103412846697984,0.546759062530674,2.17581513424248,0.914295643416123,3.43639711486216,6.14597091723069,NA,NA,10.3572816059546,7.68213768740992
"A",789,30,62.0944900918481,3.38863609763638,-0.634118035471329,0.410420370329265,0.759536309629072,0.605904222210969,-0.154586190894551,3.59193495167979,NA,NA,6.64524423800656,5.98335535421607
"A",708,29,75.7845791659674,3.85111609100046,-3.0437948246022,1.18721683319065,-3.54091711333008,2.03602694793725,9.63463916288346,4.70738055438017,NA,NA,8.89101685111678,7.56864661600248
"A",758,26,80.7315851938646,4.1559449651975,-3.31463933617454,0.944807598821078,-4.25655072931581,1.20697420934429,-7.51041563900274,4.76694427700702,NA,NA,-1.19101023246635,5.93526277686832
"A",829,30,72.9973102469391,3.19006882691326,-0.332416603746931,0.362052759129618,0.625921682186262,0.788254131639279,6.94016351562243,3.66678893389527,NA,NA,1.9771876598742,4.17178681448903
"A",810,29,80.3612377990641,3.12887426308485,-2.64351690900776,0.725462254938395,-1.82205132581976,0.711988149451504,8.31521884853556,3.89329690783442,NA,NA,-8.34081230525294,6.1655253894786
"A",559,31,80.8402800675134,3.19545797717083,-1.23113379594261,0.647390243819311,0.315780977075373,0.809003613841855,5.29947766867785,3.93534108476488,NA,NA,15.458032848169,5.70967422215728
"A",628,29,75.8307787485513,5.41393936391152,0.0450919459788721,0.759881074778354,1.93042330513923,0.872896012239321,2.12580023309339,5.9410639041357,NA,NA,13.3892239736951,10.0201500270081
"A",827,28,74.3167986274614,5.23356747586634,0.0105678151514129,0.43020762107358,1.20888206770668,0.592701927170712,0.758866488133655,5.71021969779764,NA,NA,-4.69525934120213,8.51950587866715
