"gameid","homeid","visitid","homescore","visitscore","year","seasontype","gamedate"
"283342066","2066","3084","73","66","2009","2","2008-11-29"
"283342084","2084","218","83","73","2009","2","2008-11-29"
"283342116","2116","2571","66","64","2009","2","2008-11-29"
"283342244","2244","195","74","65","2009","2","2008-11-29"
"283342378","2378","2649","61","56","2009","2","2008-11-29"
"283342439","2439","2132","65","67","2009","2","2008-11-29"
"283350097","97","98","54","68","2009","2","2008-11-30"
"283350164","164","2612","68","47","2009","2","2008-11-30"
"283350257","257","2154","78","67","2009","2","2008-11-30"
"283352116","2116","2413","65","71","2009","2","2008-11-30"
"283352230","2230","256","53","73","2009","2","2008-11-30"
"283360041","41","2169","79","49","2009","2","2008-12-01"
"283360399","399","2803","57","47","2009","2","2008-12-01"
"283362335","2335","2244","69","66","2009","2","2008-12-01"
"283362514","2514","2066","58","74","2009","2","2008-12-01"
"283370235","235","2368","100","61","2009","2","2008-12-02"
"283370261","261","159","88","71","2009","2","2008-12-02"
"283372168","2168","2653","87","70","2009","2","2008-12-02"
"283372325","2325","2083","68","65","2009","2","2008-12-02"
"283372393","2393","248","67","70","2009","2","2008-12-02"
"283372885","2885","2619","39","60","2009","2","2008-12-02"
"283380005","5","58","78","77","2009","2","2008-12-03"
"283380111","111","227","72","85","2009","2","2008-12-03"
"283380218","218","193","52","68","2009","2","2008-12-03"
"283380221","221","2184","78","51","2009","2","2008-12-03"
"283380295","295","257","65","62","2009","2","2008-12-03"
"283382275","2275","2230","60","40","2009","2","2008-12-03"
"283382378","2378","119","65","82","2009","2","2008-12-03"
"283382520","2520","164","62","66","2009","2","2008-12-03"
"283390042","42","322","97","82","2009","2","2008-12-04"
"283392084","2084","41","64","68","2009","2","2008-12-04"
"283402619","2619","2329","71","50","2009","2","2008-12-05"
"283410042","42","2325","64","70","2009","2","2008-12-06"
"283410097","97","282","83","43","2009","2","2008-12-06"
"283410164","164","2066","56","66","2009","2","2008-12-06"
"283410213","213","218","59","65","2009","2","2008-12-06"
"283410221","221","261","80","51","2009","2","2008-12-06"
"283410257","257","2169","76","66","2009","2","2008-12-06"
"283412006","2006","2168","50","54","2009","2","2008-12-06"
"283412116","2116","58","71","63","2009","2","2008-12-06"
"283412132","2132","5","87","80","2009","2","2008-12-06"
"283412182","2182","2244","55","56","2009","2","2008-12-06"
"283412507","2507","227","66","65","2009","2","2008-12-06"
"283412561","2561","399","71","64","2009","2","2008-12-06"
"283420097","97","195","91","56","2009","2","2008-12-07"
"283420120","45","120","53","76","2009","2","2008-12-07"
"283430097","97","2320","78","56","2009","2","2008-12-08"
"283432230","2230","322","79","58","2009","2","2008-12-08"
"283432329","2329","399","65","64","2009","2","2008-12-08"
"283440225","225","42","72","62","2009","2","2008-12-09"
"283440227","227","160","88","56","2009","2","2008-12-09"
"283442083","2083","2066","63","60","2009","2","2008-12-09"
"283450156","156","2168","77","59","2009","2","2008-12-10"
"283450163","163","164","44","49","2009","2","2008-12-10"
"283452378","2378","2115","67","56","2009","2","2008-12-10"
"283452515","2515","2184","75","94","2009","2","2008-12-10"
"283462230","2230","2217","66","69","2009","2","2008-12-11"
"283472116","2116","53","110","68","2009","2","2008-12-12"
"283480045","45","108","78","63","2009","2","2008-12-13"
"283480046","46","235","79","70","2009","2","2008-12-13"
"283480097","97","2046","94","75","2009","2","2008-12-13"
"283480218","218","2633","88","72","2009","2","2008-12-13"
"283480221","221","2378","91","56","2009","2","2008-12-13"
"283480227","227","2115","77","69","2009","2","2008-12-13"
"283480248","248","2400","92","58","2009","2","2008-12-13"
"283480257","257","2670","76","77","2009","2","2008-12-13"
"283480399","399","2099","74","46","2009","2","2008-12-13"
"283482132","2132","2752","66","76","2009","2","2008-12-13"
"283482168","2168","2154","73","56","2009","2","2008-12-13"
"283482184","2184","277","63","68","2009","2","2008-12-13"
"283490058","58","315","55","70","2009","2","2008-12-14"
"283490164","164","2169","60","55","2009","2","2008-12-14"
"283490261","261","350","89","68","2009","2","2008-12-14"
"283492325","2325","222","59","70","2009","2","2008-12-14"
"283492529","2529","42","55","59","2009","2","2008-12-14"
"283500041","41","2619","91","57","2009","2","2008-12-15"
"283502132","2132","2127","74","55","2009","2","2008-12-15"
"283510238","58","238","52","71","2009","2","2008-12-16"
"283520045","45","44","63","50","2009","2","2008-12-17"
"283520235","235","2031","59","51","2009","2","2008-12-17"
"283522184","2184","295","60","86","2009","2","2008-12-17"
"283522325","2325","2520","92","75","2009","2","2008-12-17"
"283530097","97","145","77","68","2009","2","2008-12-18"
"283532132","2132","344","75","63","2009","2","2008-12-18"
"283540257","257","154","79","86","2009","2","2008-12-19"
"283542244","2244","2515","67","55","2009","2","2008-12-19"
"283550057","57","2116","89","61","2009","2","2008-12-20"
"283550093","58","93","73","64","2009","2","2008-12-20"
"283550135","97","135","64","70","2009","2","2008-12-20"
"283550164","164","2803","67","37","2009","2","2008-12-20"
"283550172","172","2325","79","70","2009","2","2008-12-20"
"283550197","227","197","82","86","2009","2","2008-12-20"
"283550235","235","183","65","72","2009","2","2008-12-20"
"283552066","2066","2363","80","86","2009","2","2008-12-20"
"283552132","2132","2198","85","77","2009","2","2008-12-20"
"283552168","2168","2430","75","44","2009","2","2008-12-20"
"283552184","2184","242","80","64","2009","2","2008-12-20"
"283552250","41","2250","88","83","2009","2","2008-12-20"
"283552305","2305","218","71","59","2009","2","2008-12-20"
"283552378","2378","44","61","74","2009","2","2008-12-20"
"283552649","2649","248","63","71","2009","2","2008-12-20"
"283562514","2514","261","79","84","2009","2","2008-12-21"
"283562750","58","2750","43","60","2009","2","2008-12-21"
"283570198","58","198","63","86","2009","2","2008-12-22"
"283570235","235","2182","87","49","2009","2","2008-12-22"
"283570239","239","42","74","59","2009","2","2008-12-22"
"283570257","257","2083","79","57","2009","2","2008-12-22"
"283570299","299","218","76","71","2009","2","2008-12-22"
"283572116","2116","2674","85","60","2009","2","2008-12-22"
"283572132","2132","2029","79","49","2009","2","2008-12-22"
"283572184","2184","2428","97","79","2009","2","2008-12-22"
"283572244","2244","2655","60","52","2009","2","2008-12-22"
"283580016","16","45","47","59","2009","2","2008-12-23"
"283580158","158","2378","64","66","2009","2","2008-12-23"
"283580164","164","2885","78","52","2009","2","2008-12-23"
"283582066","2066","2520","69","58","2009","2","2008-12-23"
"283582168","2168","276","62","50","2009","2","2008-12-23"
"283582230","2230","160","60","56","2009","2","2008-12-23"
"283582325","2325","116","65","59","2009","2","2008-12-23"
"283610041","41","2217","75","55","2009","2","2008-12-26"
"283620045","45","261","72","83","2009","2","2008-12-27"
"283620058","58","314","68","55","2009","2","2008-12-27"
"283620097","97","5","82","62","2009","2","2008-12-27"
"283622655","2655","2066","73","74","2009","2","2008-12-27"
"283630153","153","164","97","75","2009","2","2008-12-28"
"283630248","248","66","67","71","2009","2","2008-12-28"
"283630350","350","257","69","76","2009","2","2008-12-28"
"283632523","2523","2184","62","88","2009","2","2008-12-28"
"283632630","2230","2630","70","82","2009","2","2008-12-28"
"283640036","261","36","76","82","2009","2","2008-12-29"
"283640041","41","46","63","74","2009","2","2008-12-29"
"283640062","62","45","73","47","2009","2","2008-12-30"
"283640222","222","218","62","45","2009","2","2008-12-29"
"283640235","235","2132","60","45","2009","2","2008-12-29"
"283642116","2116","219","81","64","2009","2","2008-12-29"
"283642229","2229","2230","63","55","2009","2","2008-12-29"
"283650024","24","42","69","55","2009","2","2008-12-30"
"283650139","139","2378","81","60","2009","2","2008-12-30"
"283650161","161","227","80","95","2009","2","2008-12-30"
"283650248","248","113","80","54","2009","2","2008-12-30"
"283650261","261","38","84","59","2009","2","2008-12-30"
"283652066","2066","2368","73","71","2009","2","2008-12-30"
"283652116","2116","2130","89","75","2009","2","2008-12-30"
"283652154","45","2154","53","59","2009","2","2008-12-30"
"283652168","2168","2244","66","62","2009","2","2008-12-30"
"283660097","97","2439","55","56","2009","2","2008-12-31"
"283660164","164","221","72","78","2009","2","2008-12-31"
"283660235","235","111","80","48","2009","2","2008-12-31"
"283662184","2184","189","76","65","2009","2","2008-12-31"
"283662325","2325","2363","89","64","2009","2","2008-12-31"
"283662678","2678","257","73","70","2009","2","2008-12-31"
"290020058","58","183","54","59","2009","2","2009-01-02"
"290022649","2649","2168","63","77","2009","2","2009-01-02"
"290030041","41","164","80","49","2009","2","2009-01-03"
"290030042","42","399","64","54","2009","2","2009-01-03"
"290030189","189","2230","65","59","2009","2","2009-01-03"
"290030227","227","2006","79","50","2009","2","2009-01-03"
"290030235","235","2320","108","75","2009","2","2009-01-03"
"290030257","257","242","74","43","2009","2","2009-01-03"
"290030261","261","2885","73","47","2009","2","2009-01-03"
"290030311","311","2066","62","70","2009","2","2009-01-03"
"290030344","344","248","82","65","2009","2","2009-01-03"
"290032116","2116","2534","86","70","2009","2","2009-01-03"
"290032244","2244","350","101","60","2009","2","2009-01-03"
"290032325","2325","47","81","66","2009","2","2009-01-03"
"290032344","2344","45","80","78","2009","2","2009-01-03"
"290032378","2378","2619","61","69","2009","2","2009-01-03"
"290040097","97","96","74","71","2009","2","2009-01-04"
"290040269","269","2132","84","50","2009","2","2009-01-04"
"290050218","218","2309","73","58","2009","2","2009-01-05"
"290052066","2066","2619","67","60","2009","2","2009-01-05"
"290052244","2244","2247","58","52","2009","2","2009-01-05"
"290060248","248","357","85","65","2009","2","2009-01-06"
"290060277","277","41","55","61","2009","2","2009-01-06"
"290062116","2116","107","70","57","2009","2","2009-01-06"
"290062168","2168","193","45","40","2009","2","2009-01-06"
"290062649","2649","227","77","86","2009","2","2009-01-06"
"290070058","58","97","57","71","2009","2","2009-01-07"
"290070119","119","2244","59","71","2009","2","2009-01-07"
"290070160","160","42","55","47","2009","2","2009-01-07"
"290070164","164","269","76","81","2009","2","2009-01-07"
"290070235","235","276","80","57","2009","2","2009-01-07"
"290072132","2132","2507","79","87","2009","2","2009-01-07"
"290072184","2184","2429","76","71","2009","2","2009-01-07"
"290072199","2199","218","45","67","2009","2","2009-01-07"
"290072230","2230","179","65","78","2009","2","2009-01-07"
"290082066","2066","261","91","83","2009","2","2009-01-08"
"290100043","43","42","71","63","2009","2","2009-01-10"
"290100045","45","257","48","60","2009","2","2009-01-10"
"290100113","113","2168","75","62","2009","2","2009-01-10"
"290100164","164","183","66","82","2009","2","2009-01-10"
"290100179","179","2184","80","98","2009","2","2009-01-10"
"290100222","222","97","60","61","2009","2","2009-01-10"
"290100248","248","5","75","56","2009","2","2009-01-10"
"290100305","305","58","58","80","2009","2","2009-01-10"
"290102116","2116","235","66","73","2009","2","2009-01-10"
"290102132","2132","41","72","81","2009","2","2009-01-10"
"290102244","2244","295","61","53","2009","2","2009-01-10"
"290102378","2378","311","61","59","2009","2","2009-01-10"
"290102603","2603","227","92","86","2009","2","2009-01-10"
"290103084","3084","2066","80","70","2009","2","2009-01-10"
"290110261","261","399","77","82","2009","2","2009-01-11"
"290112230","2230","2752","60","86","2009","2","2009-01-11"
"290112325","2325","218","68","75","2009","2","2009-01-11"
"290120097","97","87","87","73","2009","2","2009-01-12"
